area,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
札幌,5月7日,5月4日,5月11日,5月4日,5月9日,NaN,5月5日,5月5日,5月4日,4月30日,5月2日,5月4日,5月13日,5月3日,5月1日,4月26日,5月5日,5月3日,5月9日,4月29日,5月5日,5月11日,5月4日,5月7日,5月11日,5月10日,5月9日,5月14日,5月5日,5月4日,4月28日,5月12日,5月3日,5月5日,5月6日,5月3日,4月29日,4月25日,5月2日,5月4日,5月6日,5月6日,5月1日,5月5日,5月1日,4月23日,5月3日,5月8日,4月29日,4月22日,5月1日,5月5日,5月10日,5月8日,5月4日,4月21日,5月1日,5月7日,5月7日,5月1日,5月13日,4月29日,4月22日,4月25日,4月28日,4月26日,4月24日
室蘭,5月10日,5月7日,5月18日,5月8日,5月8日,5月12日,4月27日,5月8日,5月5日,5月8日,5月6日,5月7日,5月16日,5月16日,5月4日,5月5日,5月7日,5月14日,5月12日,5月4日,5月8日,5月11日,5月8日,5月10日,5月12日,5月12日,5月12日,5月15日,5月6日,5月10日,4月29日,5月25日,5月10日,5月8日,5月9日,5月6日,4月30日,4月26日,5月2日,5月6日,5月4日,5月6日,5月5日,5月13日,5月2日,4月29日,5月8日,5月15日,5月9日,4月23日,5月2日,5月4日,5月10日,5月12日,5月7日,4月25日,5月3日,5月14日,5月6日,5月9日,5月16日,4月29日,4月28日,4月25日,5月2日,4月29日,4月29日
江差,5月8日,5月1日,5月3日,5月3日,5月4日,5月5日,4月27日,5月2日,4月28日,4月29日,4月27日,5月5日,5月13日,5月4日,5月1日,4月27日,5月5日,5月7日,5月10日,4月29日,5月1日,5月10日,4月30日,5月5日,5月8日,5月8日,5月4日,5月12日,5月3日,5月2日,4月26日,5月19日,5月4日,5月6日,5月5日,5月4日,4月23日,4月23日,4月30日,4月28日,5月1日,NaN,4月29日,5月5日,4月30日,4月22日,4月28日,5月5日,4月29日,4月18日,4月29日,4月29日,5月3日,5月7日,5月1日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
函館,5月2日,5月3日,5月8日,5月3日,5月8日,5月4日,4月26日,5月4日,4月30日,5月3日,5月3日,5月5日,5月14日,5月7日,5月3日,5月2日,5月5日,5月6日,5月11日,4月29日,5月2日,5月9日,5月1日,5月9日,5月8日,5月8日,5月7日,5月12日,5月3日,5月7日,4月27日,5月23日,5月4日,5月5日,5月4日,5月2日,4月23日,4月22日,4月28日,4月28日,4月27日,4月30日,4月30日,5月4日,4月27日,4月22日,4月27日,5月3日,4月28日,4月18日,4月28日,4月26日,5月1日,5月7日,4月30日,4月22日,4月25日,5月5日,5月2日,5月2日,5月8日,4月28日,4月21日,4月24日,4月27日,4月25日,4月24日
倶知安,5月12日,5月11日,5月19日,5月13日,5月15日,5月16日,5月2日,5月17日,5月9日,5月8日,5月7日,5月9日,5月20日,5月17日,5月9日,5月10日,5月10日,5月17日,NaN,5月7日,5月11日,5月14日,5月10日,5月16日,5月14日,5月14日,5月17日,5月19日,5月10日,5月11日,5月1日,5月22日,5月11日,5月11日,5月13日,5月14日,5月5日,5月6日,5月9日,5月10日,5月12日,5月14日,5月8日,5月19日,5月9日,4月28日,5月9日,5月12日,5月8日,4月25日,5月4日,5月7日,5月14日,5月15日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
新庄,NaN,NaN,NaN,NaN,NaN,4月23日,4月15日,4月23日,4月22日,4月23日,4月20日,4月17日,5月6日,4月22日,4月23日,4月21日,4月22日,4月29日,4月23日,4月13日,4月20日,4月28日,4月22日,4月25日,4月26日,4月28日,4月22日,4月29日,4月27日,4月23日,4月18日,5月6日,4月25日,4月26日,4月21日,4月26日,4月14日,4月13日,4月17日,4月19日,4月21日,4月20日,4月20日,4月27日,4月24日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
青森,NaN,NaN,NaN,4月26日,5月1日,4月29日,4月19日,4月27日,4月24日,4月25日,4月21日,4月29日,5月3日,4月28日,4月27日,4月24日,4月29日,5月4日,4月28日,4月24日,4月22日,5月1日,4月26日,4月25日,5月2日,5月1日,4月30日,5月4日,4月27日,4月27日,4月21日,5月11日,4月29日,5月1日,4月25日,4月28日,4月15日,4月15日,4月24日,4月22日,4月23日,4月22日,4月24日,4月30日,4月23日,4月16日,4月26日,4月29日,4月23日,4月14日,4月20日,4月18日,4月29日,5月1日,4月25日,4月17日,4月18日,4月28日,4月25日,4月29日,4月29日,4月22日,4月14日,4月17日,4月17日,4月19日,4月18日
八戸,4月26日,4月24日,4月23日,4月24日,4月27日,4月24日,4月21日,4月27日,4月22日,4月23日,4月20日,4月27日,5月6日,4月26日,4月26日,4月22日,4月26日,4月30日,4月22日,4月24日,4月20日,4月29日,4月25日,4月25日,4月28日,4月28日,5月1日,4月29日,4月25日,4月26日,4月20日,5月18日,4月27日,4月29日,4月23日,4月27日,4月15日,4月12日,4月19日,4月21日,4月21日,4月23日,4月23日,4月28日,4月22日,4月14日,4月22日,4月25日,4月19日,4月13日,4月22日,4月16日,4月27日,4月29日,4月26日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
秋田,4月22日,4月17日,4月16日,4月21日,4月24日,4月22日,4月9日,4月21日,4月19日,4月20日,4月17日,4月18日,4月30日,4月21日,4月22日,4月17日,4月25日,4月27日,4月22日,4月17日,4月19日,4月26日,4月21日,4月23日,4月22日,4月26日,4月18日,4月23日,4月22日,4月20日,4月15日,4月30日,4月19日,4月20日,4月17日,4月23日,4月10日,4月10日,4月16日,4月17日,4月19日,4月19日,4月18日,4月25日,4月17日,4月13日,4月17日,4月20日,4月12日,4月7日,4月16日,4月12日,4月24日,4月21日,4月18日,4月10日,4月14日,4月24日,4月23日,4月24日,4月23日,4月20日,4月11日,4月14日,4月16日,4月17日,4月16日
盛岡,4月27日,4月19日,4月18日,4月24日,4月27日,4月24日,4月18日,4月27日,4月22日,4月22日,4月18日,4月18日,5月4日,4月23日,4月26日,4月17日,4月26日,4月28日,4月23日,4月21日,4月20日,4月28日,4月24日,4月26日,4月26日,4月29日,4月24日,4月28日,4月24日,4月23日,4月18日,5月6日,4月25日,4月29日,4月23日,4月27日,4月14日,4月13日,4月17日,4月21日,4月23日,4月21日,4月24日,4月28日,4月23日,4月12日,4月20日,4月22日,4月15日,4月11日,4月16日,4月13日,4月23日,4月24日,4月20日,4月12日,4月13日,4月25日,4月20日,4月24日,4月23日,4月13日,4月9日,4月11日,4月17日,4月17日,4月18日
宮古,4月22日,4月16日,4月12日,4月18日,4月20日,4月19日,4月14日,4月20日,4月18日,4月18日,4月15日,4月20日,4月30日,4月17日,4月20日,4月16日,4月20日,4月25日,4月19日,4月19日,4月16日,4月25日,4月20日,4月21日,4月23日,4月26日,4月19日,4月22日,4月23日,4月17日,4月16日,5月7日,4月21日,4月22日,4月18日,4月20日,4月13日,4月11日,4月17日,4月21日,4月20日,4月17日,4月22日,4月25日,4月22日,4月14日,4月17日,4月23日,4月15日,4月8日,4月17日,4月10日,4月18日,4月23日,4月21日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
酒田,4月15日,4月11日,4月10日,4月17日,4月17日,4月13日,4月7日,4月14日,4月16日,4月16日,4月15日,4月15日,4月25日,4月15日,4月16日,4月13日,4月20日,4月24日,4月18日,4月13日,4月17日,4月22日,4月17日,4月19日,4月16日,4月21日,4月11日,4月19日,4月17日,4月14日,4月14日,4月27日,4月15日,4月20日,4月15日,4月20日,4月6日,4月7日,4月13日,4月10日,4月16日,4月15日,4月15日,4月23日,4月13日,4月10日,4月13日,4月18日,4月11日,4月4日,4月12日,4月9日,4月19日,4月16日,4月12日,4月9日,4月11日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
山形,4月19日,4月13日,4月12日,4月18日,4月20日,4月17日,4月9日,4月17日,4月17日,4月16日,4月15日,4月14日,4月26日,4月15日,4月18日,4月14日,4月20日,4月24日,4月16日,4月12日,4月16日,4月24日,4月17日,4月18日,4月15日,4月23日,4月12日,4月21日,4月21日,4月16日,4月14日,4月29日,4月19日,4月20日,4月15日,4月20日,4月7日,4月9日,4月12日,4月12日,4月16日,4月15日,4月17日,4月24日,4月13日,4月11日,4月14日,4月19日,4月12日,4月3日,4月14日,4月10日,4月19日,4月18日,4月13日,4月12日,4月11日,4月19日,4月18日,4月23日,4月15日,4月14日,4月10日,4月6日,4月14日,4月4日,4月12日
仙台,4月11日,4月6日,4月11日,4月16日,4月16日,4月10日,4月4日,4月12日,4月11日,4月14日,4月12日,4月11日,4月20日,4月11日,4月11日,4月10日,4月14日,4月21日,4月14日,4月8日,4月11日,4月19日,4月14日,4月14日,4月14日,4月21日,4月9日,4月14日,4月13日,4月11日,4月13日,4月28日,4月17日,4月19日,4月10日,4月17日,4月3日,4月3日,4月11日,4月6日,4月9日,4月11日,4月11日,4月17日,4月8日,4月8日,4月8日,4月13日,4月10日,3月29日,4月9日,4月7日,4月14日,4月13日,4月6日,4月5日,4月7日,4月13日,4月12日,4月18日,4月9日,4月7日,4月3日,4月1日,4月7日,3月30日,4月5日
福島,4月9日,4月5日,4月9日,4月14日,4月15日,4月7日,4月3日,4月8日,4月11日,4月9日,4月7日,4月11日,4月18日,4月6日,4月10日,4月6日,4月13日,4月19日,4月9日,4月6日,4月9日,4月17日,4月11日,4月13日,4月12日,4月17日,4月8日,4月13日,4月12日,4月8日,4月10日,4月25日,4月14日,4月17日,4月6日,4月16日,4月1日,4月3日,4月9日,4月5日,4月12日,4月8日,4月9日,4月15日,4月8日,4月7日,4月5日,4月13日,4月8日,3月29日,4月8日,4月3日,4月11日,4月12日,4月2日,4月6日,4月6日,4月9日,4月12日,4月16日,4月5日,4月8日,4月2日,3月30日,4月8日,3月29日,4月5日
白河,4月16日,4月6日,4月11日,4月16日,4月16日,4月10日,4月8日,4月11日,4月13日,4月14日,4月14日,4月13日,4月25日,4月13日,4月12日,4月14日,4月15日,4月23日,4月15日,4月14日,4月12日,4月19日,4月15日,4月15日,4月14日,4月22日,4月8日,4月20日,4月16日,4月14日,4月14日,4月28日,4月17日,4月22日,4月10日,4月20日,4月9日,4月8日,4月12日,4月10日,4月16日,4月14日,4月18日,4月24日,4月10日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
小名浜,4月6日,4月1日,4月3日,4月12日,4月11日,4月7日,3月30日,4月5日,4月8日,4月9日,4月13日,4月10日,4月15日,4月1日,4月3日,4月7日,4月12日,4月16日,4月9日,4月3日,4月8日,4月14日,4月10日,4月5日,4月10日,4月16日,3月31日,4月14日,4月11日,4月6日,4月11日,4月25日,4月11日,4月17日,4月5日,4月13日,3月30日,3月30日,4月9日,4月2日,4月8日,4月7日,4月6日,4月8日,4月1日,4月7日,4月2日,4月8日,4月5日,3月25日,4月8日,4月1日,4月10日,4月3日,3月29日,3月30日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
輪島,4月8日,4月5日,4月7日,4月13日,4月15日,4月7日,4月1日,4月6日,4月4日,4月10日,4月11日,4月12日,4月18日,4月9日,4月8日,4月10日,4月13日,4月18日,4月12日,4月9日,4月10日,4月15日,4月12日,4月14日,4月10日,4月16日,4月7日,4月12日,4月10日,4月7日,4月11日,4月24日,4月13日,4月14日,4月7日,4月15日,4月1日,4月2日,4月11日,4月5日,4月8日,4月12日,4月10日,4月17日,4月7日,4月6日,4月8日,4月13日,4月7日,3月29日,4月8日,4月1日,4月10日,4月12日,4月8日,4月6日,4月6日,4月9日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
相川,4月11日,4月6日,4月8日,4月14日,4月16日,4月8日,4月3日,4月6日,4月11日,4月9日,4月12日,4月14日,4月19日,4月12日,4月10日,4月10日,4月14日,4月21日,4月14日,4月12日,4月11日,4月17日,4月14日,4月14日,4月13日,4月17日,4月7日,4月14日,4月12日,4月12日,4月12日,4月27日,4月13日,4月19日,4月10日,4月20日,4月7日,4月4日,4月13日,4月8日,4月14日,4月13日,4月14日,4月19日,4月11日,4月8日,4月11日,4月13日,4月10日,4月2日,4月10日,4月5日,4月16日,4月12日,4月9日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
新潟,4月13日,4月8日,4月9日,4月15日,4月18日,4月13日,4月5日,4月11日,4月12日,4月11日,4月12日,4月11日,4月19日,4月10日,4月11日,4月12日,4月16日,4月20日,4月13日,4月8日,4月10日,4月18日,4月13日,4月14日,4月14日,4月17日,4月8日,4月16日,4月13日,4月9日,4月12日,4月26日,4月10日,4月17日,4月8日,4月16日,4月1日,4月1日,4月11日,4月5日,4月9日,4月11日,4月9日,4月16日,4月7日,4月6日,4月6日,4月12日,4月8日,3月30日,4月6日,4月2日,4月14日,4月11日,4月6日,4月5日,4月7日,4月11日,4月14日,4月16日,4月7日,4月7日,4月2日,4月3日,4月8日,4月3日,4月5日
金沢,4月2日,4月1日,4月1日,4月10日,4月8日,4月1日,3月27日,3月29日,4月6日,4月7日,4月10日,4月6日,4月13日,4月4日,4月5日,4月7日,4月10日,4月16日,4月9日,4月4日,4月6日,4月10日,4月8日,4月4日,4月6日,4月11日,3月30日,4月6日,4月8日,4月2日,4月8日,4月17日,4月7日,4月10日,3月30日,4月12日,3月26日,3月28日,4月7日,4月2日,4月2日,4月11日,4月8日,4月11日,4月2日,3月31日,4月1日,4月7日,4月2日,3月26日,4月3日,3月28日,4月7日,4月6日,3月29日,4月2日,4月3日,4月1日,4月7日,4月10日,3月30日,4月1日,3月31日,3月30日,4月4日,3月29日,4月1日
富山,4月8日,4月4日,4月6日,4月13日,4月16日,4月5日,3月31日,4月5日,4月8日,4月7日,4月11日,4月11日,4月16日,4月7日,4月6日,4月8日,4月13日,4月17日,4月10日,4月6日,4月8日,4月13日,4月10日,4月8日,4月11日,4月15日,4月3日,4月9日,4月10日,4月2日,4月9日,4月20日,4月10日,4月11日,4月5日,4月14日,3月29日,4月1日,4月10日,4月4日,4月11日,4月11日,4月7日,4月10日,4月1日,3月30日,4月1日,4月10日,4月5日,3月26日,4月4日,3月29日,4月8日,4月7日,3月30日,4月2日,3月30日,4月2日,4月8日,4月12日,3月29日,4月2日,4月1日,3月29日,4月5日,3月27日,3月28日
長野,4月17日,4月7日,4月10日,4月14日,4月17日,4月9日,4月5日,4月13日,4月14日,4月15日,4月15日,4月13日,4月24日,4月14日,4月13日,4月14日,4月16日,4月24日,4月14日,4月7日,4月12日,4月17日,4月15日,4月15日,4月15日,4月20日,4月8日,4月18日,4月17日,4月13日,4月13日,4月26日,4月13日,4月20日,4月9日,4月20日,4月6日,4月7日,4月12日,4月9日,4月18日,4月15日,4月17日,4月23日,4月11日,4月10日,4月10日,4月18日,4月10日,4月2日,4月15日,4月6日,4月14日,4月15日,4月7日,4月10日,4月8日,4月9日,4月15日,4月18日,4月6日,4月11日,4月4日,4月3日,4月14日,4月2日,4月13日
高田,4月10日,4月4日,4月3日,4月13日,4月16日,4月6日,4月3日,4月5日,4月10日,4月8日,4月7日,4月7日,4月16日,4月10日,4月7日,4月12日,4月13日,4月21日,4月10日,4月5日,4月9日,4月14日,4月10日,4月13日,4月12日,4月15日,3月31日,4月13日,4月14日,4月6日,4月10日,4月25日,4月12日,4月16日,4月6日,4月14日,3月31日,4月1日,4月10日,4月5日,4月11日,4月10日,4月8日,4月15日,4月6日,4月4日,4月5日,4月10日,4月7日,3月30日,4月7日,3月30日,4月10日,4月12日,4月2日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
宇都宮,4月6日,4月2日,4月3日,4月10日,4月9日,4月6日,3月31日,4月1日,4月5日,4月7日,4月6日,4月6日,4月11日,3月30日,4月4日,4月4日,4月8日,4月13日,4月5日,3月31日,4月3日,4月8日,4月7日,4月1日,4月1日,4月10日,3月29日,4月7日,4月6日,4月1日,4月7日,4月18日,4月6日,4月11日,3月31日,4月7日,3月27日,3月25日,4月4日,3月30日,4月2日,4月4日,4月4日,4月6日,3月30日,3月30日,3月26日,4月5日,3月28日,3月18日,3月31日,3月27日,4月6日,3月29日,3月26日,3月28日,3月26日,4月2日,4月6日,4月8日,3月21日,3月29日,3月30日,3月28日,4月3日,3月26日,3月28日
福井,4月7日,4月2日,4月1日,4月9日,4月11日,4月3日,3月30日,4月1日,4月5日,4月8日,4月9日,4月6日,4月16日,4月3日,4月3日,4月6日,4月9日,4月14日,4月8日,4月4日,4月5日,4月7日,4月7日,4月2日,4月10日,4月12日,3月31日,4月8日,4月9日,4月1日,4月7日,4月17日,4月8日,4月10日,4月4日,4月12日,3月28日,3月27日,4月6日,4月1日,4月4日,4月7日,4月5日,4月7日,3月30日,3月29日,3月26日,4月8日,4月2日,3月26日,4月2日,3月29日,4月7日,4月5日,3月29日,4月2日,3月26日,4月2日,4月7日,4月10日,3月28日,3月31日,3月31日,3月27日,4月5日,3月29日,3月28日
