年月日,平均気温(℃),最高気温(℃),最低気温(℃)
1973/1/1,5.3,7.5,1.6
1973/1/2,6.6,11.1,2.7
1973/1/3,3,6.6,1
1973/1/4,4.3,10,-0.6
1973/1/5,5.4,8.1,1.4
1973/1/6,7,11.3,2.7
1973/1/7,9.4,11.9,5.1
1973/1/8,9.8,13.2,6.6
1973/1/9,7.8,11.9,4.1
1973/1/10,7.6,12.4,3.5
1973/1/11,4.5,7.1,2.9
1973/1/12,4,6.8,1
1973/1/13,5.5,9.4,2.9
1973/1/14,6.2,10.4,1.1
1973/1/15,4.9,6.6,4.2
1973/1/16,6.9,11,2.9
1973/1/17,7.8,10,6
1973/1/18,11.1,15.2,8.4
1973/1/19,9.8,12.9,6.1
1973/1/20,7.2,12,2.2
1973/1/21,6.2,10.3,2.9
1973/1/22,7.1,10.7,3.5
1973/1/23,9,12,6
1973/1/24,14,16.8,9.8
1973/1/25,11,15.6,7.4
1973/1/26,6.5,9.4,3.7
1973/1/27,5.2,8.6,2.6
1973/1/28,4.1,6.7,2.2
1973/1/29,4.6,8.8,-0.4
1973/1/30,6.4,10.4,2
1973/1/31,5.4,11,-0.6
1973/2/1,8.2,13.6,2.9
1973/2/2,6.2,8.8,4.3
1973/2/3,5.5,8.9,2.4
1973/2/4,8.6,12.4,5.2
1973/2/5,9,11,7.1
1973/2/6,9.8,13.7,6.6
1973/2/7,4.3,6.9,1.8
1973/2/8,3.3,7,0.5
1973/2/9,4.2,8.3,0.4
1973/2/10,5.3,8.4,2.3
1973/2/11,6.3,8.5,3.3
1973/2/12,7.2,10.9,4.1
1973/2/13,6.1,10.5,1.4
1973/2/14,9,12.8,4.2
1973/2/15,7.2,12.5,2.6
1973/2/16,8.6,15.1,2.9
1973/2/17,10.5,15.2,3.3
1973/2/18,13.3,15.8,11.3
1973/2/19,9.9,11.3,9.2
1973/2/20,9.5,13.4,6.1
1973/2/21,7.4,10,4.6
1973/2/22,9.2,13.9,6.7
1973/2/23,9.7,17.1,5.3
1973/2/24,3.3,6.9,-0.3
1973/2/25,2.6,6.1,-1.4
1973/2/26,6.5,11.5,3.3
1973/2/27,5.5,8.7,1.4
1973/2/28,8.9,12.8,6.1
1973/3/1,7,11.9,4.5
1973/3/2,4.5,8.5,1.2
1973/3/3,6.5,12,1.1
1973/3/4,6.3,10.1,0.7
1973/3/5,6.4,9.5,2.9
1973/3/6,4.8,7.4,2.4
1973/3/7,5.1,9.4,1.6
1973/3/8,7.9,12.6,3.1
1973/3/9,6.9,9.8,3.7
1973/3/10,5.9,7,4.4
1973/3/11,7.5,10.7,3.3
1973/3/12,10.2,15,6.7
1973/3/13,10,13.5,5.6
1973/3/14,7.1,11.6,2.7
1973/3/15,5.8,9.4,3.3
1973/3/16,5.9,11.1,2
1973/3/17,7,11.1,3.5
1973/3/18,6.7,10.3,3.1
1973/3/19,7.4,11.8,4
1973/3/20,8.9,15.4,1.2
1973/3/21,9.2,13.1,6.4
